2023-02-05 06:52:05.458 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-05 08:29:28.606 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-05 12:05:29.052 GMT+05:30 ,3313,3457, I , SpayFw_TokenRepersoProcessor , restart
2023-02-05 12:05:29.053 GMT+05:30 ,3313,3457, I , SpayFw_TokenChangeChecker , restart
2023-02-05 12:21:30.825 GMT+05:30 ,3313,3313, I , SpayFw_PackageStateReceiver , PackageName : com.instagram.android
2023-02-05 12:21:30.828 GMT+05:30 ,3313,3313, I , SpayFw_PackageStateReceiver , Data Removed : false
2023-02-05 12:22:21.503 GMT+05:30 ,3313,3313, I , SpayFw_PackageStateReceiver , PackageName : com.instagram.android
2023-02-05 12:22:21.504 GMT+05:30 ,3313,3313, I , SpayFw_PackageStateReceiver , Data Removed : false
2023-02-05 13:21:11.071 GMT+05:30 ,3313,3457, I , SpayFw_TokenRepersoProcessor , restart
2023-02-05 13:21:11.073 GMT+05:30 ,3313,3457, I , SpayFw_TokenChangeChecker , restart
2023-02-05 13:33:13.394 GMT+05:30 ,3313,3457, I , SpayFw_TokenRepersoProcessor , restart
2023-02-05 13:33:13.403 GMT+05:30 ,3313,3457, I , SpayFw_TokenChangeChecker , restart
2023-02-05 13:51:44.388 GMT+05:30 ,3313,3457, I , SpayFw_TokenRepersoProcessor , restart
2023-02-05 13:51:44.434 GMT+05:30 ,3313,3457, I , SpayFw_TokenChangeChecker , restart
2023-02-05 13:56:36.511 GMT+05:30 ,3313,3457, I , SpayFw_TokenRepersoProcessor , restart
2023-02-05 13:56:36.542 GMT+05:30 ,3313,3457, I , SpayFw_TokenChangeChecker , restart
2023-02-05 14:13:08.878 GMT+05:30 ,3313,3457, I , SpayFw_TokenRepersoProcessor , restart
2023-02-05 14:13:08.930 GMT+05:30 ,3313,3457, I , SpayFw_TokenChangeChecker , restart
2023-02-05 14:34:03.165 GMT+05:30 ,3313,3457, I , SpayFw_TokenRepersoProcessor , restart
2023-02-05 14:34:03.171 GMT+05:30 ,3313,3457, I , SpayFw_TokenChangeChecker , restart
2023-02-05 14:42:37.040 GMT+05:30 ,3313,3457, I , SpayFw_TokenRepersoProcessor , restart
2023-02-05 14:42:37.084 GMT+05:30 ,3313,3457, I , SpayFw_TokenChangeChecker , restart
2023-02-05 14:45:25.325 GMT+05:30 ,3313,3457, I , SpayFw_TokenRepersoProcessor , restart
2023-02-05 14:45:25.326 GMT+05:30 ,3313,3457, I , SpayFw_TokenChangeChecker , restart
2023-02-05 14:50:00.203 GMT+05:30 ,3313,3457, I , SpayFw_TokenRepersoProcessor , restart
2023-02-05 14:50:00.210 GMT+05:30 ,3313,3457, I , SpayFw_TokenChangeChecker , restart
2023-02-05 14:53:57.183 GMT+05:30 ,3313,3457, I , SpayFw_TokenRepersoProcessor , restart
2023-02-05 14:53:57.184 GMT+05:30 ,3313,3457, I , SpayFw_TokenChangeChecker , restart
2023-02-05 19:11:28.431 GMT+05:30 ,3313,3457, I , SpayFw_TokenRepersoProcessor , restart
2023-02-05 19:11:28.435 GMT+05:30 ,3313,3457, I , SpayFw_TokenChangeChecker , restart
2023-02-05 22:03:38.114 GMT+05:30 ,3313,3328, I , SpayFw_TAController , TA MSG: cncc_pay:23929488
2023-02-05 22:03:38.122 GMT+05:30 ,3313,3328, I , SpayFw_TAController , TA is already loaded
2023-02-05 22:03:38.773 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = selectCard
2023-02-05 22:03:38.776 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-05 22:03:38.783 GMT+05:30 ,3313,3383, W , SpayFw_PaymentFrameworkHandler , handleMessage: PAYFW_OPT_SELECT_CARD
2023-02-05 22:03:38.788 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , loadTA()
2023-02-05 22:03:38.896 GMT+05:30 ,3313,3383, I , SpayFw_TAController , No need to load PIN random for TA TA - Technology = tee uuid = 00000000000000000000504159415554
2023-02-05 22:03:38.897 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , Calling loadPin()
2023-02-05 22:03:38.905 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , loadPin: Existing PIN len=4 ret=0
2023-02-05 22:03:38.905 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , Existing PIN len: 4  pin exist: true
2023-02-05 22:03:38.905 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , TUI MSG:  pay_auth:24530960
2023-02-05 22:03:38.907 GMT+05:30 ,3313,3383, I , SpayFw_TAController , TA is already loaded
2023-02-05 22:03:38.909 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , Ta is already loaded
2023-02-05 22:03:38.917 GMT+05:30 ,3313,3383, E , SpayFw_Utils , isReadable /sys/class/mstldo/mst_drv/support exists: false
2023-02-05 22:03:38.917 GMT+05:30 ,3313,3383, E , SpayFw_Utils , readFromFile Failed isReadable : /sys/class/mstldo/mst_drv/support
2023-02-05 22:03:38.917 GMT+05:30 ,3313,3383, I , SpayFw_StateMachine , state has changed from NPAY_READY to NPAY_SELECTED
2023-02-05 22:03:39.246 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = getConfig
2023-02-05 22:03:39.247 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-05 22:03:39.255 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = updateBinAttribute
2023-02-05 22:03:39.256 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-05 22:03:39.262 GMT+05:30 ,3313,3328, I , SpayFw_BinAttributeManager , needUpdate. [LOCAL] version is empty
2023-02-05 22:03:46.756 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = clearCard
2023-02-05 22:03:46.756 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-05 22:03:46.758 GMT+05:30 ,3313,3383, I , SpayFw_StateMachine , state has changed from NPAY_SELECTED to NPAY_READY
2023-02-05 22:03:46.758 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , Calling closeTui
2023-02-05 22:03:46.765 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , TUI: unloadTA
2023-02-05 22:03:46.916 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = getConfig
2023-02-05 22:03:46.917 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-05 22:03:46.919 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = updateBinAttribute
2023-02-05 22:03:46.920 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-05 22:03:46.921 GMT+05:30 ,3313,3328, I , SpayFw_BinAttributeManager , needUpdate. [LOCAL] version is empty
2023-02-05 22:03:48.560 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = selectCard
2023-02-05 22:03:48.560 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-05 22:03:48.561 GMT+05:30 ,3313,3383, W , SpayFw_PaymentFrameworkHandler , handleMessage: PAYFW_OPT_SELECT_CARD
2023-02-05 22:03:48.562 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , loadTA()
